Order ID,Order Date,Region,Product Category,Sales Amount,Quantity Sold,Discount (%),Profit,Profit Margin
6d01e9aa,07-01-24,East,Electronics,932.08,36,4,833.05,89%
f3449cb2,28-12-23,West,Electronics,3673.01,33,31,344.49,9%
5107b0cd,19-12-22,East,Electronics,1275.02,30,27,362.35,28%
6c6f74b6,12-02-23,North,Groceries,2552.92,31,31,1907.44,75%
d647003d,27-03-23,West,Furniture,1034.27,16,50,1699.35,164%
1d4dddfa,28-05-24,North,Electronics,1844.22,37,35,900.79,49%
7c6db794,04-12-23,North,Electronics,2034.58,25,22,983.94,48%
fb7963a1,13-03-24,West,Furniture,2299.83,8,3,522.23,23%
942b7f7c,14-12-23,West,Furniture,3657.96,43,27,956.92,26%
423261cb,10-04-23,East,Electronics,2852.97,4,5,418.25,15%
35fe0fa8,08-03-24,South,Groceries,2168.49,16,0,1301.12,60%
cb81ad58,17-08-23,North,Clothing,2152.82,19,16,1396.93,65%
d076453a,26-09-23,East,Groceries,497.78,20,31,853.81,172%
f1065dd9,06-12-22,West,Furniture,1611.31,39,42,1038.25,64%
c19c2143,30-01-23,West,Furniture,4586.33,1,20,105.86,2%
3766a067,07-07-23,West,Sports,4680.21,17,7,1891.83,40%
1cbf17fc,18-08-24,West,Sports,2420.41,22,11,326.32,13%
629482d3,09-09-23,North,Groceries,2366.73,46,2,719.48,30%
7d302db2,29-07-23,South,Groceries,2762.66,35,30,422.52,15%
1c22dc77,12-10-24,South,Clothing,1559.92,33,43,1731.83,111%
659e9f3b,12-08-23,West,Groceries,2680.05,5,16,1116.50,42%
11f7c810,30-10-24,West,Clothing,4248.76,48,23,1078.77,25%
dffb2e00,01-01-23,West,Electronics,3946.90,36,44,823.62,21%
71f59681,30-09-24,North,Sports,478.76,50,15,1421.97,297%
d5623566,29-12-22,North,Sports,2323.76,11,18,440.68,19%
94a0b0f8,16-02-24,South,Groceries,2332.87,10,4,1656.79,71%
03bc1108,19-06-23,East,Groceries,293.32,7,17,1730.03,590%
03f9d79a,30-08-23,South,Clothing,2710.58,50,13,1478.80,55%
fcaff031,13-10-23,West,Electronics,3521.44,15,9,1124.96,32%
b98e148b,12-06-23,South,Furniture,82.08,36,33,828.16,1009%
b961efd5,19-03-24,South,Electronics,3767.50,11,0,922.22,24%
1a867a1f,04-05-23,West,Electronics,2821.33,7,50,519.76,18%
ced67d5d,25-10-23,East,Groceries,4352.98,16,3,1870.83,43%
85b7334b,30-08-23,South,Sports,3680.41,41,43,847.16,23%
fd347e68,21-05-24,South,Electronics,1251.38,2,11,185.29,15%
1e18c00a,05-01-23,North,Clothing,2925.27,24,4,1753.87,60%
37400000,23-08-23,South,Groceries,2454.67,10,28,47.54,2%
af24551a,24-04-23,North,Groceries,4662.47,13,22,735.39,16%
6b389c40,06-07-23,West,Clothing,2943.33,45,8,571.04,19%
7743bcd0,06-04-23,South,Groceries,2261.46,46,39,373.45,17%
84d09672,11-09-23,North,Sports,2679.53,36,6,1471.00,55%
bd554f96,26-03-23,East,Electronics,1290.66,46,8,147.39,11%
dee8766b,28-04-24,East,Groceries,211.31,45,48,1844.45,873%
733628ca,19-01-24,West,Furniture,3582.85,42,48,1359.36,38%
7101a707,20-06-23,West,Furniture,419.94,12,22,1047.80,250%
7349ac4e,29-11-23,East,Sports,4422.18,14,33,237.47,5%
fbe74fbe,12-12-22,East,Furniture,3277.47,11,2,379.92,12%
6bde908c,20-08-24,North,Clothing,4264.38,31,24,1179.93,28%
56a98641,31-03-23,South,Furniture,647.38,16,34,1937.88,299%
d14d8d01,07-05-23,East,Groceries,3097.39,17,42,33.52,1%
b1fe3bbf,18-07-23,North,Sports,619.81,38,41,926.27,149%
75b5349d,17-01-23,North,Clothing,3697.98,8,21,941.76,25%
2ecc60c1,08-01-23,South,Clothing,4559.22,14,29,1055.86,23%
60839616,25-08-24,South,Sports,1787.05,11,19,40.81,2%
a65dfe8b,27-06-23,West,Furniture,901.68,7,48,903.11,100%
850b0c26,11-05-24,North,Electronics,2934.72,20,12,528.02,18%
21fd10ea,06-04-24,West,Groceries,1058.57,6,13,697.72,66%
8d90e130,08-02-23,East,Furniture,3988.42,36,1,1637.88,41%
41aee1e8,25-03-23,South,Sports,2727.47,35,1,1875.23,69%
2f562dc0,15-12-23,South,Groceries,1765.49,13,24,1951.72,111%
1790f693,21-01-23,North,Furniture,4383.76,40,21,1013.33,23%
1ad9d5e9,03-07-24,South,Groceries,4240.64,49,14,1765.62,42%
ae129571,13-02-23,South,Furniture,273.84,44,29,821.00,300%
79a06bc6,03-04-23,East,Sports,152.53,10,16,1958.80,1284%
65240ae3,29-06-23,West,Groceries,1407.97,26,35,978.17,69%
d4df366c,16-06-24,West,Furniture,4083.30,22,40,1003.31,25%
2ec7d99a,08-05-24,West,Furniture,2147.93,7,1,1704.65,79%
14e88de0,20-09-23,East,Clothing,4147.42,49,29,1416.19,34%
a9e06586,24-05-24,North,Clothing,1000.26,9,48,1107.13,111%
ac916bdb,20-02-23,North,Groceries,464.00,25,14,772.55,166%
f8a770c7,24-10-23,South,Clothing,1591.64,30,9,534.30,34%
6ca8c17f,09-06-23,North,Electronics,4954.64,34,30,1244.40,25%
b06e2cd2,25-08-23,East,Groceries,325.22,22,33,508.36,156%
b2a8f295,01-09-24,North,Clothing,4535.94,26,36,1062.13,23%
a76aeb66,29-05-24,East,Clothing,296.61,22,34,1144.07,386%
22f34721,08-04-24,East,Groceries,1395.71,34,38,1804.57,129%
43fea1ac,02-10-24,West,Furniture,2443.79,37,38,411.73,17%
2c7aabad,10-06-23,West,Groceries,2050.02,28,20,1712.20,84%
75a8d2f4,06-03-23,East,Groceries,2692.03,50,44,891.49,33%
a2aceb94,13-09-23,East,Clothing,2045.78,27,0,96.23,5%
8f1c4661,27-08-23,East,Sports,4115.93,50,48,741.85,18%
82abe2b7,13-11-24,North,Clothing,3825.01,23,17,578.60,15%
385341ea,28-10-24,West,Electronics,4031.06,33,4,1132.46,28%
679abad3,05-11-24,East,Sports,1875.67,6,42,405.84,22%
e1314dfe,15-06-23,East,Furniture,59.00,50,44,781.02,1324%
7881d39c,30-10-23,East,Electronics,4748.67,40,49,488.00,10%
9392481f,29-06-24,South,Furniture,3074.29,37,29,352.22,11%
e9bdbccb,02-07-24,North,Electronics,4723.89,38,29,681.75,14%
30e10b81,19-07-24,South,Groceries,2765.73,45,10,1624.51,59%
f7fc40bf,25-10-24,East,Sports,4798.70,37,28,156.88,3%
4f7585fd,18-09-23,South,Sports,1903.26,23,8,266.18,14%
12a6182f,09-02-23,East,Furniture,1728.17,18,2,1527.95,88%
03a15f32,18-03-24,East,Sports,1169.15,8,24,563.23,48%
96b58695,19-06-23,East,Groceries,1976.50,15,16,729.20,37%
a96a6386,11-01-24,North,Clothing,3714.22,32,41,1992.87,54%
9c2fba00,18-07-24,North,Sports,3563.17,31,9,1647.33,46%
ca1af362,17-05-23,North,Groceries,3986.86,18,24,432.51,11%
a6aaf304,04-08-23,South,Electronics,661.84,21,28,849.94,128%
e4de7860,02-06-23,East,Sports,2388.75,40,12,1868.20,78%
784480d1,12-02-23,West,Electronics,3419.80,7,35,1567.08,46%
087bf976,01-07-23,North,Groceries,3525.34,29,45,278.90,8%
1e809e0a,08-05-23,West,Electronics,438.53,14,14,55.24,13%
c97d3165,22-03-23,South,Electronics,1947.55,24,16,1387.77,71%
425a6924,02-10-24,West,Clothing,4684.16,16,30,1607.78,34%
8a5977c9,18-08-24,North,Electronics,118.07,34,35,1266.59,1073%
6628a2ad,08-12-22,West,Electronics,4683.04,31,47,945.65,20%
418969d0,29-04-24,West,Sports,2731.26,29,5,795.38,29%
d344a2c7,28-07-23,East,Furniture,3012.88,16,16,789.81,26%
6.78E+71,13-02-23,North,Clothing,1877.37,40,46,730.86,39%
3cccf911,30-10-24,West,Electronics,2634.24,19,35,38.85,1%
7fc85b77,07-04-23,East,Sports,2112.39,29,15,1063.37,50%
67786d7a,12-04-23,North,Groceries,1184.59,10,32,1911.66,161%
4f22a450,08-07-23,South,Electronics,3836.47,17,14,1856.22,48%
cd1a4970,06-11-23,West,Groceries,781.32,22,8,229.41,29%
fca3b2cc,03-03-23,South,Electronics,2175.35,22,50,1763.89,81%
c240726f,03-02-23,North,Groceries,840.44,50,9,593.40,71%
4263210b,10-11-23,South,Electronics,1375.14,18,42,1337.36,97%
46a56979,03-03-24,North,Electronics,4338.88,5,28,483.38,11%
0fcc3a9e,29-08-23,East,Electronics,877.67,36,7,534.42,61%
106d8cf5,14-08-24,East,Clothing,2915.13,34,25,748.57,26%
ebe9521d,06-01-23,North,Sports,1825.20,31,11,1217.25,67%
f0324386,10-08-24,West,Electronics,1240.92,18,28,174.40,14%
fbbfded3,08-03-24,East,Sports,1748.99,43,39,932.44,53%
7f759c44,26-01-24,North,Sports,509.40,33,5,1985.69,390%
727e5937,30-11-23,East,Groceries,1853.75,2,16,947.28,51%
027804b2,08-10-24,North,Groceries,1306.13,15,22,349.72,27%
de10fb1e,06-04-23,West,Clothing,2633.39,21,24,629.92,24%
cc6c442f,29-04-23,East,Clothing,3938.09,18,31,1531.84,39%
31a3a4e8,12-04-23,South,Sports,4400.23,48,44,1530.14,35%
39e65a96,18-08-23,East,Groceries,2004.23,35,41,1396.22,70%
fa3df40d,12-09-24,North,Electronics,1878.24,20,36,1653.07,88%
93a029f4,16-12-22,North,Sports,821.04,24,50,193.79,24%
f70d8609,07-11-23,South,Electronics,3688.49,31,39,1916.28,52%
3ab83748,28-08-23,South,Groceries,2626.75,48,22,1996.41,76%
bc509622,26-04-24,North,Clothing,2909.02,50,11,1249.34,43%
a2302bd9,15-04-24,West,Electronics,1208.05,10,32,1456.40,121%
256f7316,30-03-24,West,Furniture,3040.56,12,44,1568.86,52%
ff50a482,02-06-24,West,Electronics,3113.48,6,48,1108.21,36%
66b06131,16-09-23,North,Electronics,1925.06,21,1,460.01,24%
2bebdec7,06-05-24,North,Furniture,586.42,26,13,1477.88,252%
10e4da1a,06-02-23,West,Electronics,3918.22,26,22,564.46,14%
65f1e30f,14-03-24,East,Groceries,1081.32,18,28,993.98,92%
3bfae9d7,02-10-23,East,Sports,3764.38,36,21,1553.93,41%
9be3d0ec,05-10-23,West,Electronics,1054.04,13,39,126.62,12%
62f59bd6,23-06-23,East,Sports,478.01,28,29,1057.74,221%
8e09f474,19-12-23,South,Sports,3815.58,8,6,642.87,17%
9ad708bc,17-12-22,East,Sports,2044.96,34,3,960.79,47%
38373fe1,02-02-23,West,Groceries,2231.20,22,10,688.14,31%
6e9214ce,30-12-23,South,Clothing,835.26,13,36,1674.81,201%
9103a0e2,05-07-23,East,Electronics,565.91,10,27,1181.33,209%
19f30bc3,16-11-23,West,Groceries,3180.04,21,48,1183.27,37%
5f021a1b,25-01-24,West,Groceries,1510.87,5,23,835.60,55%
0f0ff441,02-10-24,West,Groceries,1717.94,34,5,528.35,31%
cdc6d3ec,16-01-24,West,Sports,2608.11,34,41,1273.28,49%
225e930d,03-09-23,West,Groceries,2453.80,39,11,1442.04,59%
fec691eb,10-06-24,South,Sports,1954.44,10,14,1433.28,73%
60b6b7a7,18-02-23,East,Clothing,4784.11,40,37,985.48,21%
6f96d5b9,12-10-24,West,Groceries,1608.13,31,31,1758.35,109%
3d1b7159,25-05-24,East,Electronics,687.26,43,21,1555.12,226%
3f542db4,15-08-24,West,Furniture,71.79,36,42,1546.70,2154%
ddf5b67b,04-12-23,West,Furniture,2747.19,21,12,1465.30,53%
c85c3188,21-11-23,West,Groceries,1387.68,18,30,904.34,65%
15625ab1,20-09-24,West,Sports,2530.77,39,42,651.95,26%
cb43d385,04-10-24,South,Sports,2529.89,12,2,1235.71,49%
da892885,30-10-23,North,Electronics,605.21,46,2,1626.74,269%
f5448f52,03-11-23,West,Furniture,3012.37,4,31,430.04,14%
59b7f257,06-12-23,North,Furniture,4914.08,29,37,1316.83,27%
e88f49be,02-10-24,East,Furniture,3146.59,10,6,1696.32,54%
1c5bf0f0,25-11-22,North,Groceries,2023.95,42,23,1272.70,63%
b9161739,27-01-23,East,Sports,4451.08,29,26,1002.86,23%
e83fc29d,23-11-22,South,Electronics,2843.57,22,22,419.23,15%
73f698fa,12-01-23,West,Clothing,3288.61,21,21,366.80,11%
5651eb5d,04-12-22,South,Electronics,3947.42,26,6,1041.68,26%
6b93034f,01-02-23,North,Sports,1899.53,24,12,154.48,8%
c20f280b,22-03-24,West,Sports,3347.49,11,30,1814.86,54%
ac49e295,02-06-24,East,Furniture,2832.18,40,27,1043.36,37%
3508cf1e,08-02-23,North,Clothing,101.35,38,48,1637.71,1616%
c6e09557,24-12-23,North,Groceries,2627.50,25,2,1064.03,40%
2ba49935,22-03-24,North,Furniture,1562.89,38,31,749.00,48%
b58d9c57,07-04-24,West,Electronics,2368.94,36,6,1274.07,54%
bfedf1f5,20-10-23,North,Sports,2670.33,48,6,1618.28,61%
9ff90547,13-02-24,East,Sports,1316.85,10,15,190.62,14%
d9ca80f6,07-05-23,North,Electronics,599.64,23,29,1250.29,209%
3decc701,11-05-24,West,Clothing,158.33,28,44,726.79,459%
93ffbfb2,29-09-23,West,Electronics,4751.08,31,18,1085.89,23%
8e16fd5d,25-03-23,East,Electronics,3047.98,36,21,740.43,24%
add4aae5,12-10-24,East,Clothing,3474.13,31,2,830.26,24%
85172be9,18-02-23,West,Sports,1313.41,7,28,709.47,54%
227bb959,15-05-23,South,Clothing,318.78,40,50,1754.87,550%
6b77cd08,18-02-23,North,Electronics,3933.43,48,38,244.78,6%
84255c59,22-03-24,South,Furniture,882.28,23,41,1037.78,118%
dfe96fe0,18-11-22,South,Sports,4587.97,34,38,1352.15,29%
00349dcc,01-10-24,North,Sports,3805.92,10,3,905.63,24%
8d0843ce,13-10-24,South,Groceries,1119.46,1,23,427.52,38%
ad83577d,27-03-23,South,Clothing,4095.13,16,15,1952.45,48%
508ba48d,30-07-24,West,Clothing,587.65,2,38,1307.50,222%
9272af6e,30-12-22,East,Clothing,276.04,34,14,1454.19,527%
a3ecb33f,12-03-23,West,Electronics,4655.76,35,43,41.95,1%
f0b9e962,09-11-23,West,Electronics,1811.45,25,4,1166.17,64%
552eb17f,29-10-24,East,Sports,1352.23,50,26,1076.04,80%
7a30292e,23-05-23,South,Sports,2542.84,48,32,543.46,21%
a17fd98e,20-05-23,East,Electronics,3678.54,46,4,1829.99,50%
c390b0e3,23-08-24,North,Electronics,1858.07,42,38,294.99,16%
438aa1a4,07-03-24,South,Sports,1643.46,30,13,227.54,14%
1596f8e5,02-12-23,West,Sports,3596.04,34,6,1366.01,38%
bce7cfc2,27-09-24,North,Furniture,623.42,9,30,1597.50,256%
9b656791,20-11-23,West,Electronics,4159.41,33,45,564.71,14%
3892eb53,16-10-23,East,Sports,422.54,46,24,1658.28,392%
31cdae3c,04-01-23,West,Sports,4636.57,27,40,923.03,20%
f03f95bc,08-09-23,North,Groceries,2858.13,18,14,750.32,26%
08e64ed3,02-04-24,North,Electronics,213.54,8,46,1519.28,711%
7959b374,30-12-22,North,Groceries,1488.39,25,21,1720.51,116%
1aec12e3,24-06-23,North,Sports,2936.81,16,1,1066.45,36%
8a6b4a81,26-09-23,East,Groceries,2270.87,49,21,1044.47,46%
a98d84bf,28-05-23,East,Clothing,872.63,7,3,440.81,51%
a246dc30,01-11-23,West,Sports,3090.39,36,18,958.92,31%
b8840863,10-08-24,East,Groceries,3915.94,20,16,1076.21,27%
35b2258a,26-10-23,South,Sports,4548.37,29,50,1639.81,36%
f56337b2,08-11-23,North,Groceries,1736.10,23,11,821.24,47%
1ff473cf,30-03-24,North,Furniture,3030.30,18,12,1882.67,62%
9c92dce6,06-09-23,North,Electronics,3844.92,38,11,258.93,7%
ec39ff94,22-02-23,West,Furniture,3149.85,45,41,362.73,12%
56b68ae3,27-02-24,West,Clothing,196.66,32,3,112.75,57%
4e1888e8,15-03-24,North,Electronics,2104.66,44,15,539.63,26%
c9ec1f90,24-05-23,West,Electronics,1973.55,13,9,915.14,46%
1af869ff,15-09-23,West,Groceries,1997.57,4,9,1392.80,70%
7bcfd66b,22-06-24,South,Sports,1585.30,5,20,928.27,59%
44574b41,12-12-23,East,Electronics,1629.45,29,4,758.45,47%
